Unit,QuestionNo,Question,AnswerA,AnswerB,AnswerC,AnswerD
Unit - 1: Web Essentials,1,The tag used to create a hypertext relationship between current document and another URL is,<ISINDEX,<A>,<LINK>,none of these
Unit - 1: Web Essentials,2,How can you make an e-mail link?,"<mail href +""xxx@y.com"">","<a href =""mail to:xxx@y.com"">","<a href = ""xxx@y.com"">",Both (b) and (c)
Unit - 1: Web Essentials,3,To create a combo box (drop down box) which tag will you use?,<select>,<list>,"<input type=""dropdown"">",all of above
Unit - 1: Web Essentials,4,HTML stands for?,Hyper Text Markup Language,High Text Markup Language,Hyper Tabular Markup Language,None of these
Unit - 1: Web Essentials,5,Which of the following tag is used to mark a beginning of Paragraph?,<TD>,<br>,<P>,<TR>
Unit - 1: Web Essentials,6,Correct HTML tag for the largest heading is,<head>,<heading>,<h6>,<h1>
Unit - 1: Web Essentials,7,The attribute of <form> tag,Method,Action,Both (a)&(b),None of these
Unit - 1: Web Essentials,8,Web pages starts with which off the following tag?,<Body>,<Title>,<HTML>,<Form>
Unit - 1: Web Essentials,9,How can you open a link in a new browser window?,"< a href = ""url"" target = ""new"">","<a href = ""url"" target= ""_blank"">","<a href = ""url"".new>","<a href = ""url"" target =""open"">"
Unit - 1: Web Essentials,10,The tag used to create a new list item and also include a hyperlink is,<LI>,<DL>,<DD>,<UL>
Unit - 1: Web Essentials,11,Which of the tag is used to creates a number list?,<LI>,<OL>,<LI> and <OL>,None of these
Unit - 1: Web Essentials,12,The tag used to create a hypertext relationship between current document and another URL is,<ISINDEX>,<A>,<LINK>,None of these
Unit - 1: Web Essentials,13,The text inside the <TEXT AREA> tag works like,<P> formatted text,<T> formatted text,<PRE> formatted text,none of these
Unit - 1: Web Essentials,14,What is the correct HTML for adding a background color?,<background>yellow<Background>,"<body color = ""yellow"">","<body bgcolor = ""yellow"">","<body bg =""yellow"""
Unit - 1: Web Essentials,15,Which tag allows you to add a row in a table?,<td> and </td>,<cr> and </cr>,<th> and </th>,<tr> and </tr>
Unit - 1: Web Essentials,16,How can you make a bulleted list?,<list>,<nl>,<ul>,<ol>
Unit - 1: Web Essentials,17,Choose the correct HTML tag to make a text italic,<ii>,<italics>,<italic>,<i>
Unit - 1: Web Essentials,18,Choose the correct HTML tag to make a text bold?,<b>,<bold>,<bb>,<bld>
Unit - 1: Web Essentials,19,Which tag creates a check box for a form in HTML?,<checkbox>,"<input type=""checkbox"">",<input=checkbox>,<input checkbox>
Unit - 1: Web Essentials,20,To create a combo box (drop down box) which tag will you use?,<select>,<list>,"<input type=""dropdown"">",all of above
Unit - 1: Web Essentials,21,Which of the following attributes is used to specify elements to bind style rules to?,Id,Class,Tag,all of the mentioned
Unit - 1: Web Essentials,22,Which selector is used to specify a rule to bind a particular unique element?,Id,Class,Tag,both class and tag
Unit - 1: Web Essentials,23,"__________ has introduced text, list, box, margin, border, color, and background properties.",css,selector,declaration,text color
Unit - 1: Web Essentials,24,The _______property is used to set the color of the text.,css,selector,declaration,text color
Unit - 1: Web Essentials,25,The CSS __________properties is used to define the background effects.,css,selector,background,text color
